"","year","URL","lat","long","length","location","species","sci_names","date"
"1","2017","S36645742",5.05639579450635,-75.5918792,60,"CO-Caldas-Manizales-Unnamed Road - 5,057x-75,592","Southern Rough-winged Swallow, Scrub Tanager, Black Vulture, House Wren, Lesser Goldfinch, White-collared Swift, Dull-colored Grassquit, Bar-crested Antshrike, Great Antshrike, Red-rumped Woodpecker, Smooth-billed Ani, Jet Antbird, Andean Motmot, Tropical Kingbird, Bay-headed Tanager, Steely-vented Hummingbird, Blue-gray Tanager, Stripe-throated Hermit, White-tipped Dove, Eared Dove, Yellow-crowned Tyrannulet, Blue-headed Parrot, Streaked Saltator, Blue-black Grassquit, Black Phoebe, Gray Seedeater, White-vented Plumeleteer, Rufous-tailed Hummingbird, Striped Cuckoo, Blue-and-white Swallow, Ruddy Ground Dove, Spectacled Parrotlet, Yellow-bellied Elaenia, Black-billed Thrush, Roadside Hawk, Scaly-breasted Wren, Vermilion Flycatcher, Bananaquit, Yellow-crowned Parrot, Yellow-faced Grassquit, Southern Beardless-Tyrannulet, Mouse-colored Tyrannulet, Golden-faced Tyrannulet, Acorn Woodpecker, Shiny Cowbird, Green Hermit, Rufous-breasted Hermit, Rusty-margined Flycatcher, Pale-breasted Spinetail, Speckle-breasted Wren, Bare-faced Ibis, Lineated Woodpecker, Pale-vented Pigeon, Yellow-bellied Seedeater, Flame-rumped Tanager, Saffron Finch, Red-crowned Woodpecker, Great Kiskadee, Slaty Spinetail, Little Tinamou","Stelgidopteryx ruficollis, Stilpnia vitriolina, Coragyps atratus, Troglodytes aedon, Spinus psaltria, Streptoprocne zonaris, Asemospiza obscura, Thamnophilus multistriatus, Taraba major, Dryobates kirkii, Crotophaga ani, Cercomacra nigricans, Momotus aequatorialis, Tyrannus melancholicus, Tangara gyrola, Saucerottia saucerottei, Thraupis episcopus, Phaethornis striigularis, Leptotila verreauxi, Zenaida auriculata, Tyrannulus elatus, Pionus menstruus, Saltator striatipectus, Volatinia jacarina, Sayornis nigricans, Sporophila intermedia, Chalybura buffonii, Amazilia tzacatl, Tapera naevia, Pygochelidon cyanoleuca, Columbina talpacoti, Forpus conspicillatus, Elaenia flavogaster, Turdus ignobilis, Rupornis magnirostris, Microcerculus marginatus, Pyrocephalus rubinus, Coereba flaveola, Amazona ochrocephala, Tiaris olivaceus, Camptostoma obsoletum, Phaeomyias murina, Zimmerius chrysops, Melanerpes formicivorus, Molothrus bonariensis, Phaethornis guy, Glaucis hirsutus, Myiozetetes cayanensis, Synallaxis albescens, Pheugopedius sclateri, Phimosus infuscatus, Dryocopus lineatus, Patagioenas cayennensis, Sporophila nigricollis, Ramphocelus flammigerus, Sicalis flaveola, Melanerpes rubricapillus, Pitangus sulphuratus, Synallaxis brachyura, Crypturellus soui","2017-05-07"
"2","1997","S24795857",38.6966205925245,-120.0463166,65,"Caples Lake","White-crowned Sparrow, Western Wood-Pewee, Black-headed Grosbeak, Hermit Warbler, American Kestrel, Common Raven, Warbling Vireo, Red-winged Blackbird, Ruby-crowned Kinglet, Lazuli Bunting, California Gull, Clark's Nutcracker, Green-tailed Towhee, Brewer's Blackbird, Rufous Hummingbird, Red-breasted Nuthatch, Brown-headed Cowbird, California Quail, Williamson's Sapsucker, Mountain Chickadee, Violet-green Swallow, Hairy Woodpecker, Mallard, Spotted Sandpiper, Brewer's Sparrow, Nashville Warbler, Red-tailed Hawk, Chipping Sparrow, Hermit Thrush, Yellow-rumped Warbler, Dark-eyed Junco, Killdeer, Orange-crowned Warbler, Band-tailed Pigeon, Caspian Tern, Dusky Flycatcher, American Robin, European Starling, Turkey Vulture, Lincoln's Sparrow, American White Pelican, Western Tanager, Black-billed Magpie, Western Grebe, American Dipper, Osprey, Steller's Jay, Cliff Swallow, Northern Flicker, Wilson's Warbler, Anna's Hummingbird, Canada Goose, Lewis's Woodpecker, House Wren, Song Sparrow, Townsend's Solitaire, Red-breasted Sapsucker, Tree Swallow, Fox Sparrow, Golden-crowned Kinglet, Pine Siskin, Cassin's Finch, MacGillivray's Warbler, White-headed Woodpecker, Willow Flycatcher","Zonotrichia leucophrys, Contopus sordidulus, Pheucticus melanocephalus, Setophaga occidentalis, Falco sparverius, Corvus corax, Vireo gilvus, Agelaius phoeniceus, Corthylio calendula, Passerina amoena, Larus californicus, Nucifraga columbiana, Pipilo chlorurus, Euphagus cyanocephalus, Selasphorus rufus, Sitta canadensis, Molothrus ater, Callipepla californica, Sphyrapicus thyroideus, Poecile gambeli, Tachycineta thalassina, Dryobates villosus, Anas platyrhynchos, Actitis macularius, Spizella breweri, Leiothlypis ruficapilla, Buteo jamaicensis, Spizella passerina, Catharus guttatus, Setophaga coronata, Junco hyemalis, Charadrius vociferus, Leiothlypis celata, Patagioenas fasciata, Hydroprogne caspia, Empidonax oberholseri, Turdus migratorius, Sturnus vulgaris, Cathartes aura, Melospiza lincolnii, Pelecanus erythrorhynchos, Piranga ludoviciana, Pica hudsonia, Aechmophorus occidentalis, Cinclus mexicanus, Pandion haliaetus, Cyanocitta stelleri, Petrochelidon pyrrhonota, Colaptes auratus, Cardellina pusilla, Calypte anna, Branta canadensis, Melanerpes lewis, Troglodytes aedon, Melospiza melodia, Myadestes townsendi, Sphyrapicus ruber, Tachycineta bicolor, Passerella iliaca, Regulus satrapa, Spinus pinus, Haemorhous cassinii, Geothlypis tolmiei, Dryobates albolarvatus, Empidonax traillii","1997-06-28"
"3","1988","S67329410",30.5957065856135,-103.933285239899,61,"Davis Mountains  SP (FWTX 23)","Black-throated Sparrow, Rufous-crowned Sparrow, Bronzed Cowbird, House Sparrow, Cliff Swallow, Cooper's Hawk, Rock Wren, Spotted Towhee, Great-tailed Grackle, Montezuma Quail, Blue-gray Gnatcatcher, Common Nighthawk, Black-chinned Hummingbird, Chipping Sparrow, Western Wood-Pewee, Yellow-breasted Chat, Say's Phoebe, Northern Mockingbird, Black-headed Grosbeak, Bewick's Wren, Curve-billed Thrasher, Verdin, Bushtit, Hepatic Tanager, Cassin's Kingbird, Blue Grosbeak, Yellow-billed Cuckoo, Northern Flicker, Turkey Vulture, Painted Bunting, Western Kingbird, White-winged Dove, Greater Roadrunner, Black-chinned Sparrow, Acorn Woodpecker, Plumbeous Vireo, Broad-tailed Hummingbird, Ladder-backed Woodpecker, Violet-green Swallow, Ash-throated Flycatcher, Summer Tanager, Canyon Wren, Scaled Quail, Barn Swallow, Red-winged Blackbird, Canyon Towhee, Scott's Oriole, Lesser Goldfinch, Cactus Wren, Brown-headed Cowbird, Zone-tailed Hawk, Eastern Meadowlark, Black-crested Titmouse, Woodhouse's Scrub-Jay, Northern Cardinal, Bell's Vireo, Lark Sparrow, Pyrrhuloxia, Mourning Dove, House Finch, Red-tailed Hawk","Amphispiza bilineata, Aimophila ruficeps, Molothrus aeneus, Passer domesticus, Petrochelidon pyrrhonota, Accipiter cooperii, Salpinctes obsoletus, Pipilo maculatus, Quiscalus mexicanus, Cyrtonyx montezumae, Polioptila caerulea, Chordeiles minor, Archilochus alexandri, Spizella passerina, Contopus sordidulus, Icteria virens, Sayornis saya, Mimus polyglottos, Pheucticus melanocephalus, Thryomanes bewickii, Toxostoma curvirostre, Auriparus flaviceps, Psaltriparus minimus, Piranga flava, Tyrannus vociferans, Passerina caerulea, Coccyzus americanus, Colaptes auratus, Cathartes aura, Passerina ciris, Tyrannus verticalis, Zenaida asiatica, Geococcyx californianus, Spizella atrogularis, Melanerpes formicivorus, Vireo plumbeus, Selasphorus platycercus, Dryobates scalaris, Tachycineta thalassina, Myiarchus cinerascens, Piranga rubra, Catherpes mexicanus, Callipepla squamata, Hirundo rustica, Agelaius phoeniceus, Melozone fusca, Icterus parisorum, Spinus psaltria, Campylorhynchus brunneicapillus, Molothrus ater, Buteo albonotatus, Sturnella magna, Baeolophus atricristatus, Aphelocoma woodhouseii, Cardinalis cardinalis, Vireo bellii, Chondestes grammacus, Cardinalis sinuatus, Zenaida macroura, Haemorhous mexicanus, Buteo jamaicensis","1988-06-18"
"4","2020","S88180323",48.717116596552,-116.4051045,85,"Bonners Ferry, Idaho, US (48.717, -116.405)","American Coot, American Crow, American Goldfinch, American Kestrel, American Robin, American Wigeon, Bald Eagle, Barn Swallow, Black-billed Magpie, Black-capped Chickadee, Black-chinned Hummingbird, Black-headed Grosbeak, Brewer's Blackbird, Brown-headed Cowbird, Bufflehead, Calliope Hummingbird, Canada Goose, Cassin's Finch, Cassin's Vireo, Cedar Waxwing, Chestnut-backed Chickadee, Chipping Sparrow, Cinnamon Teal, Cliff Swallow, Common Goldeneye, Common Merganser, Common Raven, Common Yellowthroat, Dark-eyed Junco, Downy Woodpecker, Dusky Flycatcher, Eastern Kingbird, Eurasian Collared-Dove, European Starling, Gadwall, Golden-crowned Kinglet, Gray Catbird, Great Blue Heron, Green-winged Teal, Hairy Woodpecker, Hammond's Flycatcher, Hooded Merganser, House Finch, Killdeer, Least Flycatcher, MacGillivray's Warbler, Mallard, Mourning Dove, Nashville Warbler, Northern Flicker, Northern Harrier, Northern Rough-winged Swallow, Orange-crowned Warbler, Osprey, Pied-billed Grebe, Pileated Woodpecker, Pine Siskin, Red-breasted Nuthatch, Red-eyed Vireo, Red-naped Sapsucker, Red-tailed Hawk, Red-winged Blackbird, Redhead, Ring-necked Duck, Ruby-crowned Kinglet, Ruffed Grouse, Rufous Hummingbird, Song Sparrow, Spotted Sandpiper, Townsend's Warbler, Tree Swallow, Turkey Vulture, Vaux's Swift, Violet-green Swallow, Warbling Vireo, Western Meadowlark, Western Tanager, Western Wood-Pewee, White-crowned Sparrow, Willow Flycatcher, Wilson's Snipe, Wood Duck, Yellow Warbler, Yellow-headed Blackbird, Yellow-rumped Warbler","Fulica americana, Corvus brachyrhynchos, Spinus tristis, Falco sparverius, Turdus migratorius, Mareca americana, Haliaeetus leucocephalus, Hirundo rustica, Pica hudsonia, Poecile atricapillus, Archilochus alexandri, Pheucticus melanocephalus, Euphagus cyanocephalus, Molothrus ater, Bucephala albeola, Selasphorus calliope, Branta canadensis, Haemorhous cassinii, Vireo cassinii, Bombycilla cedrorum, Poecile rufescens, Spizella passerina, Spatula cyanoptera, Petrochelidon pyrrhonota, Bucephala clangula, Mergus merganser, Corvus corax, Geothlypis trichas, Junco hyemalis, Dryobates pubescens, Empidonax oberholseri, Tyrannus tyrannus, Streptopelia decaocto, Sturnus vulgaris, Mareca strepera, Regulus satrapa, Dumetella carolinensis, Ardea herodias, Anas crecca, Dryobates villosus, Empidonax hammondii, Lophodytes cucullatus, Haemorhous mexicanus, Charadrius vociferus, Empidonax minimus, Geothlypis tolmiei, Anas platyrhynchos, Zenaida macroura, Leiothlypis ruficapilla, Colaptes auratus, Circus hudsonius, Stelgidopteryx serripennis, Leiothlypis celata, Pandion haliaetus, Podilymbus podiceps, Dryocopus pileatus, Spinus pinus, Sitta canadensis, Vireo olivaceus, Sphyrapicus nuchalis, Buteo jamaicensis, Agelaius phoeniceus, Aythya americana, Aythya collaris, Corthylio calendula, Bonasa umbellus, Selasphorus rufus, Melospiza melodia, Actitis macularius, Setophaga townsendi, Tachycineta bicolor, Cathartes aura, Chaetura vauxi, Tachycineta thalassina, Vireo gilvus, Sturnella neglecta, Piranga ludoviciana, Contopus sordidulus, Zonotrichia leucophrys, Empidonax traillii, Gallinago delicata, Aix sponsa, Setophaga petechia, Xanthocephalus xanthocephalus, Setophaga coronata","2020-06-01"
"5","1998","S23964574",-0.00261779999708204,-78.7364388,52,"road San Tadeo-Sta Rosa-1ºde Mayo","Tropical Kingbird, Yellow-bellied Seedeater, Blue-and-white Swallow, Nariño Tapaculo, Gray-breasted Wood-Wren, Beryl-spangled Tanager, Dusky Chlorospingus, Southern Beardless-Tyrannulet, Golden-olive Woodpecker, Swallow-tailed Kite, Toucan Barbet, Andean Solitaire, Russet-crowned Warbler, Smoke-colored Pewee, White-collared Swift, Blue-winged Mountain Tanager, White-sided Flowerpiercer, Tricolored Brushfinch, American Kestrel, Velvet-purple Coronet, Olive-crowned Yellowthroat, Rufous-breasted Antthrush, Collared Inca, Empress Brilliant, Black-winged Saltator, Golden-headed Quetzal, Plumbeous Pigeon, Roadside Hawk, Swainson's Thrush, Dark-backed Wood-Quail, White-tipped Dove, Shiny Cowbird, Brown Violetear, Band-tailed Pigeon, Flame-rumped Tanager, Rufous-collared Sparrow, House Wren, Sharp-shinned Hawk, Turkey Vulture, Black Vulture, Mottled Owl, Squirrel Cuckoo, Tropical Parula, Brown-capped Vireo, Golden Tanager, Blackburnian Warbler, Slate-throated Redstart, Speckled Hummingbird, Booted Racket-tail, Tawny-bellied Hermit, Broad-winged Hawk, Violet-tailed Sylph","Tyrannus melancholicus, Sporophila nigricollis, Pygochelidon cyanoleuca, Scytalopus vicinior, Henicorhina leucophrys, Tangara nigroviridis, Chlorospingus semifuscus, Camptostoma obsoletum, Colaptes rubiginosus, Elanoides forficatus, Semnornis ramphastinus, Myadestes ralloides, Myiothlypis coronata, Contopus fumigatus, Streptoprocne zonaris, Anisognathus somptuosus, Diglossa albilatera, Atlapetes tricolor, Falco sparverius, Boissonneaua jardini, Geothlypis semiflava, Formicarius rufipectus, Coeligena torquata, Heliodoxa imperatrix, Saltator atripennis, Pharomachrus auriceps, Patagioenas plumbea, Rupornis magnirostris, Catharus ustulatus, Odontophorus melanonotus, Leptotila verreauxi, Molothrus bonariensis, Colibri delphinae, Patagioenas fasciata, Ramphocelus flammigerus, Zonotrichia capensis, Troglodytes aedon, Accipiter striatus, Cathartes aura, Coragyps atratus, Ciccaba virgata, Piaya cayana, Setophaga pitiayumi, Vireo leucophrys, Tangara arthus, Setophaga fusca, Myioborus miniatus, Adelomyia melanogenys, Ocreatus underwoodii, Phaethornis syrmatophorus, Buteo platypterus, Aglaiocercus coelestis","1998-03-12"
"6","2022","S103978374",9.85471549012261,-83.8741301,51,"Calle Mero, Llanos de Santa Lucía, Provincia de Cartago, CR (9.855, -83.874)","Baltimore Oriole, Bananaquit, Black Vulture, Black-and-white Warbler, Blue-gray Tanager, Boat-billed Flycatcher, Buff-throated Saltator, Cabanis's Wren, Chestnut-capped Warbler, Chestnut-sided Warbler, Clay-colored Thrush, Dusky-capped Flycatcher, Golden-winged Warbler, Gray-headed Chachalaca, Hoffmann's Woodpecker, House Wren, Kentucky Warbler, Lesser Greenlet, Lesson's Motmot, Mistletoe Tyrannulet, Montezuma Oropendola, Mourning Warbler, Northern Waterthrush, Ochre-bellied Flycatcher, Orange-billed Nightingale-Thrush, Ovenbird, Philadelphia Vireo, Red-billed Pigeon, Red-faced Spinetail, Roadside Hawk, Rufous-tailed Hummingbird, Scarlet-rumped Tanager, Smoky-brown Woodpecker, Streak-headed Woodcreeper, Stripe-throated Hermit, Summer Tanager, Tennessee Warbler, Tropical Kingbird, Tropical Parula, Turkey Vulture, White-breasted Wood-Wren, White-eared Ground-Sparrow, White-tipped Dove, Wilson's Warbler, Wood Thrush, Worm-eating Warbler, Yellow Warbler, Yellow-billed Cacique, Yellow-olive Flycatcher, Yellow-throated Euphonia, Yellow-throated Vireo","Icterus galbula, Coereba flaveola, Coragyps atratus, Mniotilta varia, Thraupis episcopus, Megarynchus pitangua, Saltator maximus, Cantorchilus modestus, Basileuterus delattrii, Setophaga pensylvanica, Turdus grayi, Myiarchus tuberculifer, Vermivora chrysoptera, Ortalis cinereiceps, Melanerpes hoffmannii, Troglodytes aedon, Geothlypis formosa, Pachysylvia decurtata, Momotus lessonii, Zimmerius parvus, Psarocolius montezuma, Geothlypis philadelphia, Parkesia noveboracensis, Mionectes oleagineus, Catharus aurantiirostris, Seiurus aurocapilla, Vireo philadelphicus, Patagioenas flavirostris, Cranioleuca erythrops, Rupornis magnirostris, Amazilia tzacatl, Ramphocelus passerinii, Dryobates fumigatus, Lepidocolaptes souleyetii, Phaethornis striigularis, Piranga rubra, Leiothlypis peregrina, Tyrannus melancholicus, Setophaga pitiayumi, Cathartes aura, Henicorhina leucosticta, Melozone leucotis, Leptotila verreauxi, Cardellina pusilla, Hylocichla mustelina, Helmitheros vermivorum, Setophaga petechia, Amblycercus holosericeus, Tolmomyias sulphurescens, Euphonia hirundinacea, Vireo flavifrons","2022-03-01"
"7","2017","S43461545",-24.0301589861366,-47.35145945,62,"Legado das Águas--Sede (Miracatu)","Black Jacobin, Red-rumped Cacique, White-collared Swift, Blue-and-white Swallow, Squirrel Cuckoo, Slaty-breasted Wood-Rail, Violet-capped Woodnymph, Lesser Woodcreeper, Piratic Flycatcher, Long-tailed Tyrant, Chestnut-crowned Becard, Rufous-margined Antwren, Plain Parakeet, Ruby-crowned Tanager, Gray-breasted Martin, Black-throated Grosbeak, Black Vulture, Tropical Parula, Cliff Flycatcher, Rufous-capped Antthrush, Festive Coquette, Variegated Flycatcher, Versicolored Emerald, Tropical Kingbird, Greenish Schiffornis, Ferruginous Antbird, Southern Rough-winged Swallow, Pale-breasted Thrush, Scaly-headed Parrot, White-tipped Dove, Gray-headed Tody-Flycatcher, Yellow-headed Caracara, Channel-billed Toucan, Solitary Tinamou, Boat-billed Flycatcher, Southern Lapwing, Rufous-bellied Thrush, Olivaceous Woodcreeper, Swallow-tailed Manakin, Shiny Cowbird, Azure-shouldered Tanager, Maroon-bellied Parakeet, Rufous-browed Peppershrike, Great Kiskadee, Sayaca Tanager, Golden-crowned Warbler, Yellow-fronted Woodpecker, White-necked Thrush, Spot-backed Antshrike, Bananaquit, Gray-rumped Swift, Green-headed Tanager, Rufous-collared Sparrow, Pileated Parrot, Swallow Tanager, Gray Elaenia, Picazuro Pigeon, Double-collared Seedeater, Olive-green Tanager, Turkey Vulture, Pin-tailed Manakin, Bare-throated Bellbird","Florisuga fusca, Cacicus haemorrhous, Streptoprocne zonaris, Pygochelidon cyanoleuca, Piaya cayana, Aramides saracura, Thalurania glaucopis, Xiphorhynchus fuscus, Legatus leucophaius, Colonia colonus, Pachyramphus castaneus, Herpsilochmus rufimarginatus, Brotogeris tirica, Tachyphonus coronatus, Progne chalybea, Saltator fuliginosus, Coragyps atratus, Setophaga pitiayumi, Hirundinea ferruginea, Formicarius colma, Lophornis chalybeus, Empidonomus varius, Chrysuronia versicolor, Tyrannus melancholicus, Schiffornis virescens, Drymophila ferruginea, Stelgidopteryx ruficollis, Turdus leucomelas, Pionus maximiliani, Leptotila verreauxi, Todirostrum poliocephalum, Milvago chimachima, Ramphastos vitellinus, Tinamus solitarius, Megarynchus pitangua, Vanellus chilensis, Turdus rufiventris, Sittasomus griseicapillus, Chiroxiphia caudata, Molothrus bonariensis, Thraupis cyanoptera, Pyrrhura frontalis, Cyclarhis gujanensis, Pitangus sulphuratus, Thraupis sayaca, Basileuterus culicivorus, Melanerpes flavifrons, Turdus albicollis, Hypoedaleus guttatus, Coereba flaveola, Chaetura cinereiventris, Tangara seledon, Zonotrichia capensis, Pionopsitta pileata, Tersina viridis, Myiopagis caniceps, Patagioenas picazuro, Sporophila caerulescens, Orthogonys chloricterus, Cathartes aura, Ilicura militaris, Procnias nudicollis","2017-12-02"
"8","2019","S62181222",-24.0301589861366,-47.35145945,52,"Legado das Águas--Sede (Miracatu)","Azure-shouldered Tanager, Bananaquit, Bare-throated Bellbird, Bat Falcon, Black Jacobin, Black Vulture, Black-tailed Tityra, Black-throated Grosbeak, Blue Dacnis, Blue-and-white Swallow, Boat-billed Flycatcher, Brown Tinamou, Capped Heron, Chestnut-bellied Euphonia, Chivi Vireo, Cliff Flycatcher, Cobalt-rumped Parrotlet, Double-collared Seedeater, Festive Coquette, Golden-chevroned Tanager, Gray-breasted Martin, Gray-hooded Attila, Great Kiskadee, Green-headed Tanager, Greenish Schiffornis, Lesser Woodcreeper, Lined Seedeater, Long-billed Gnatwren, Plain Parakeet, Red-breasted Toucan, Red-necked Tanager, Red-ruffed Fruitcrow, Ruby-crowned Tanager, Ruddy Ground Dove, Rufous-bellied Thrush, Rufous-capped Spinetail, Rufous-collared Sparrow, Saffron Finch, Sayaca Tanager, Scaly-headed Parrot, Shiny Cowbird, Short-tailed Antthrush, Southern Rough-winged Swallow, Spot-winged Wood-Quail, Squirrel Cuckoo, Swallow-tailed Manakin, Turkey Vulture, Variable Antshrike, Violaceous Euphonia, White-necked Thrush, White-winged Becard, Yellow-olive Flycatcher","Thraupis cyanoptera, Coereba flaveola, Procnias nudicollis, Falco rufigularis, Florisuga fusca, Coragyps atratus, Tityra cayana, Saltator fuliginosus, Dacnis cayana, Pygochelidon cyanoleuca, Megarynchus pitangua, Crypturellus obsoletus, Pilherodius pileatus, Euphonia pectoralis, Vireo chivi, Hirundinea ferruginea, Forpus xanthopterygius, Sporophila caerulescens, Lophornis chalybeus, Thraupis ornata, Progne chalybea, Attila rufus, Pitangus sulphuratus, Tangara seledon, Schiffornis virescens, Xiphorhynchus fuscus, Sporophila lineola, Ramphocaenus melanurus, Brotogeris tirica, Ramphastos dicolorus, Tangara cyanocephala, Pyroderus scutatus, Tachyphonus coronatus, Columbina talpacoti, Turdus rufiventris, Synallaxis ruficapilla, Zonotrichia capensis, Sicalis flaveola, Thraupis sayaca, Pionus maximiliani, Molothrus bonariensis, Chamaeza campanisona, Stelgidopteryx ruficollis, Odontophorus capueira, Piaya cayana, Chiroxiphia caudata, Cathartes aura, Thamnophilus caerulescens, Euphonia violacea, Turdus albicollis, Pachyramphus polychopterus, Tolmomyias sulphurescens","2019-12-09"
"9","2020","S68131082",10.6893848144918,-85.08588175,62,"Mi Casa, Guanacaste Province, CR (10.689, -85.086)","Cinnamon Hummingbird, White-fronted Parrot, Mistletoe Tyrannulet, Lesser Greenlet, Palm Tanager, Turkey Vulture, Yellow Warbler, Red-lored Parrot, Yellow-throated Euphonia, Long-billed Starthroat, Northern Rough-winged Swallow, Hoffmann's Woodpecker, Cattle Egret, Great Kiskadee, Bronzed Cowbird, Brown-hooded Parrot, Laughing Falcon, Stripe-throated Hermit, Masked Tityra, Streak-headed Woodcreeper, Tropical Kingbird, Montezuma Oropendola, Golden-hooded Tanager, Yellow-bellied Elaenia, Piratic Flycatcher, Yellow-faced Grassquit, Cinnamon-bellied Saltator, Variable Seedeater, Yellow-olive Flycatcher, Social Flycatcher, Yellow-crowned Euphonia, White-winged Dove, Great-tailed Grackle, Bright-rumped Attila, House Wren, Rufous-tailed Hummingbird, Brown-crested Flycatcher, Blue-throated Goldentail, Melodious Blackbird, Groove-billed Ani, White-throated Magpie-Jay, Red-billed Pigeon, Bananaquit, Gray Hawk, Orange-chinned Parakeet, Keel-billed Toucan, Common Tody-Flycatcher, Black Vulture, Squirrel Cuckoo, Inca Dove, Blue-gray Tanager, Clay-colored Thrush, Black-cowled Oriole, Collared Aracari, Plain-capped Starthroat, Gray-crowned Yellowthroat, Sulphur-bellied Flycatcher, Yellow-throated Toucan, Canivet's Emerald, Red-legged Honeycreeper, Blue-and-white Swallow, Wedge-billed Woodcreeper","Amazilia rutila, Amazona albifrons, Zimmerius parvus, Pachysylvia decurtata, Thraupis palmarum, Cathartes aura, Setophaga petechia, Amazona autumnalis, Euphonia hirundinacea, Heliomaster longirostris, Stelgidopteryx serripennis, Melanerpes hoffmannii, Bubulcus ibis, Pitangus sulphuratus, Molothrus aeneus, Pyrilia haematotis, Herpetotheres cachinnans, Phaethornis striigularis, Tityra semifasciata, Lepidocolaptes souleyetii, Tyrannus melancholicus, Psarocolius montezuma, Stilpnia larvata, Elaenia flavogaster, Legatus leucophaius, Tiaris olivaceus, Saltator grandis, Sporophila corvina, Tolmomyias sulphurescens, Myiozetetes similis, Euphonia luteicapilla, Zenaida asiatica, Quiscalus mexicanus, Attila spadiceus, Troglodytes aedon, Amazilia tzacatl, Myiarchus tyrannulus, Chlorestes eliciae, Dives dives, Crotophaga sulcirostris, Calocitta formosa, Patagioenas flavirostris, Coereba flaveola, Buteo plagiatus, Brotogeris jugularis, Ramphastos sulfuratus, Todirostrum cinereum, Coragyps atratus, Piaya cayana, Columbina inca, Thraupis episcopus, Turdus grayi, Icterus prosthemelas, Pteroglossus torquatus, Heliomaster constantii, Geothlypis poliocephala, Myiodynastes luteiventris, Ramphastos ambiguus, Cynanthus canivetii, Cyanerpes cyaneus, Pygochelidon cyanoleuca, Glyphorynchus spirurus","2020-04-30"
"10","2021","S98436391",-28.0340216873411,-49.1502122,59,"Santa Rosa de Lima--Pousada Doce Encanto","Euler's Flycatcher, White-tipped Dove, Gray-fronted Dove, Saffron Finch, Maroon-bellied Parakeet, Plain Parakeet, Black Vulture, Rufous-collared Sparrow, Masked Yellowthroat, Brazilian Teal, Scaled Chachalaca, Streaked Flycatcher, Palm Tanager, Rufous-browed Peppershrike, Swainson's Flycatcher, Scaly-headed Parrot, Planalto Woodcreeper, Golden-crowned Warbler, Red-necked Tanager, Violet-capped Woodnymph, Yellow-headed Caracara, Campo Flicker, Slaty-breasted Wood-Rail, Small-billed Elaenia, Bran-colored Flycatcher, Sepia-capped Flycatcher, Ruby-crowned Tanager, Brassy-breasted Tanager, Blue-bellied Parrot, Hooded Siskin, White-spotted Woodpecker, Swallow-tailed Kite, Surucua Trogon, White-eyed Parakeet, Ruddy Ground Dove, Rufous-tailed Attila, White-necked Thrush, Green-winged Saltator, Red-breasted Toucan, Short-tailed Hawk, Chivi Vireo, Planalto Tyrannulet, Tropical Kingbird, Channel-billed Toucan, Ochre-collared Piculet, Sick's Swift, Common Gallinule, Guira Cuckoo, Short-tailed Antthrush, Southern Lapwing, Shiny Cowbird, White-collared Swift, Piratic Flycatcher, Gray-hooded Attila, Bare-faced Ibis, Bananaquit, Double-collared Seedeater, Red-crested Finch, Pale-breasted Thrush","Lathrotriccus euleri, Leptotila verreauxi, Leptotila rufaxilla, Sicalis flaveola, Pyrrhura frontalis, Brotogeris tirica, Coragyps atratus, Zonotrichia capensis, Geothlypis aequinoctialis, Amazonetta brasiliensis, Ortalis squamata, Myiodynastes maculatus, Thraupis palmarum, Cyclarhis gujanensis, Myiarchus swainsoni, Pionus maximiliani, Dendrocolaptes platyrostris, Basileuterus culicivorus, Tangara cyanocephala, Thalurania glaucopis, Milvago chimachima, Colaptes campestris, Aramides saracura, Elaenia parvirostris, Myiophobus fasciatus, Leptopogon amaurocephalus, Tachyphonus coronatus, Tangara desmaresti, Triclaria malachitacea, Spinus magellanicus, Dryobates spilogaster, Elanoides forficatus, Trogon surrucura, Psittacara leucophthalmus, Columbina talpacoti, Attila phoenicurus, Turdus albicollis, Saltator similis, Ramphastos dicolorus, Buteo brachyurus, Vireo chivi, Phyllomyias fasciatus, Tyrannus melancholicus, Ramphastos vitellinus, Picumnus temminckii, Chaetura meridionalis, Gallinula galeata, Guira guira, Chamaeza campanisona, Vanellus chilensis, Molothrus bonariensis, Streptoprocne zonaris, Legatus leucophaius, Attila rufus, Phimosus infuscatus, Coereba flaveola, Sporophila caerulescens, Coryphospingus cucullatus, Turdus leucomelas","2021-12-04"
